Vos notes Kindle pour :,,,;
"Surlignement (Jaune),""Emplacement 5331"","""",""While there are new revisions with Es (experience, everyplace, exchange, evangelism), and occasionally Cs (consumer, cost, communication, convenience),""";
"Surlignement (Jaune),""Emplacement 5345"","""",""With inbound marketing, you “bring people in” through engaging content, podcasts, infographics, social media participation, community building, etc.""";
"Surlignement (Jaune),""Emplacement 5353"","""",""outbound marketing pushes a message out to potential customers through channels such as telemarketing, direct mail, or billboards. Advertising is a form of outbound marketing.""";
"Surlignement (Jaune),""Emplacement 5359"","""",""Outbound marketing is also called paid media.""";
"Surlignement (Jaune),""Emplacement 5364"","""",""Broadly speaking, there are two types of markets: sellers’ markets and buyers’ markets.""";
"Surlignement (Jaune),""Emplacement 5379"","""",""This is a customer-focused market. The customer is the expert, and the seller designs in response to the customer’s needs in an effort to get ahead of the competition. The product is, first and foremost, a solution. If you identified a large number of competitors in your early research, this is the type of market you’re in. As a result, marketing strategy and advertising efforts will focus on speaking to and connecting with a customer, appealing to his needs, and trying to instill loyalty.""";
"Surlignement (Jaune),""Emplacement 5386"","""",""As the customer-oriented company grows, it can eventually use this deep knowledge to produce and cross-sell other products that meet customer needs.""";
"Surlignement (Jaune),""Emplacement 5387"","""",""step-by-step framework for running a lean marketing campaign for an early-stage hardware startup.""";
"Surlignement (Jaune),""Emplacement 5389"","""",""Step 1: Define your Objective""";
"Surlignement (Jaune),""Emplacement 5393"","""",""In general, your objective will be related to a facet of either customer acquisition or customer retention.""";
"Surlignement (Jaune),""Emplacement 5405"","""",""Step 2: Choose your KPIs""";
"Surlignement (Jaune),""Emplacement 5418"","""",""Popular KPIs include cost per click (CPC), return on investment (ROI), customer lifetime value (LTV), cost per lead, traffic to lead (or lead to customer) ratio, and customer acquisition cost (CAC).""";
"Surlignement (Jaune),""Emplacement 5421"","""",""Step 3: Identify Your Audience, the “Who”""";
"Surlignement (Jaune),""Emplacement 5431"","""",""Actual purchaser and user data is far more valuable than general demographic guesses. Marketers distinguish between demographic segmentation and value-based segmentation.""";
"Surlignement (Jaune),""Emplacement 5435"","""",""Value-based segmentation is an analysis of the lifetime value of certain subsets of customers who have actually purchased your product.""";
"Surlignement (Jaune),""Emplacement 5439"","""",""Step 4: Select Your Marketing Channels""";
"Surlignement (Jaune),""Emplacement 5462"","""",""Facebook doesn’t want to spam its users or disappoint its business customers with poorly targeted ads, so it incentivizes businesses to create highly specific target profiles.""";
"Surlignement (Jaune),""Emplacement 5465"","""",""Facebook can also create look-alike audiences that match certain demographic traits of names in a list""";
"Surlignement (Jaune),""Emplacement 5475"","""",""For example, if you are building a fitness tracker, you might buy keywords such as “fitness tracking” or “run tracking” or “workout monitor.”""";
"Note,""Emplacement 5476"","""",""Cf le biais quand on recherche un directeur""";
"Surlignement (Jaune),""Emplacement 5478"","""",""AdWords is a pay-per-click advertising platform: a customer running an ad campaign is charged when a Google user clicks on the ad.""";
"Surlignement (Jaune),""Emplacement 5481"","""",""If you aren’t interested in driving traffic to a site and just want to increase brand awareness, you can also pay per impression""";
"Surlignement (Jaune),""Emplacement 5488"","""",""(send people to a landing page even if you have nothing to sell),""";
"Note,""Emplacement 5488"","""",""Lp importance des keywords""";
"Surlignement (Jaune),""Emplacement 5495"","""",""You don’t necessarily want to choose the cheapest keywords. The more expensive ones are pricy for a reason";" people who click those ads are more likely to become customers, so there’s competition for them."""
"Surlignement (Jaune),""Emplacement 5498"","""",""It’s possible to include negative keywords, to avoid your ad showing up in an irrelevant context""";
"Surlignement (Jaune),""Emplacement 5528"","""",""Be cognizant of the tone and type of language you’re using to communicate your story.""";
"Surlignement (Jaune),""Emplacement 5544"","""",""Step 6: Incorporate a Call to Action""";
"Surlignement (Jaune),""Emplacement 5547"","""",""It should be delivered as a clear instruction: “Call now!”, “Stop by our new location!”, “Buy today!” In the digital world, “Download the app!”, “Sign up!”, “Get Started!” are fairly common. Be specific and to the point — no vague “Submit” buttons!""";
"Surlignement (Jaune),""Emplacement 5573"","""",""A large company that hires an agency to run its marketing programs has very little opportunity to refine messaging and adjust budgets while a campaign is running. A startup, on the other hand, can do just that.""";
"Surlignement (Jaune),""Emplacement 5658"","""",""An ideal solution should enable you to manage inventory, accept payments, track orders and shipments, and easily put items on sale.""";
"Surlignement (Jaune),""Emplacement 5674"","""",""Create a periodic newsletter to keep previous visitors up-to-date on new offerings, and design a drip campaign: a series of emails that happen in a set order, on a set schedule. Engage the community in some way, perhaps a survey about what color or feature you should incorporate next.""";
"Surlignement (Jaune),""Emplacement 5686"","""",""If your business is solidly B2B, consider writing case studies highlighting""";
"Surlignement (Jaune),""Emplacement 5687"","""",""testimonials""";
"Surlignement (Jaune),""Emplacement 5789"","""",""Let’s define sell-in and sell-through. In a sell-in transaction, the retailer buys the goods from you at a discount and then sells them to the consumer. You send an invoice to the retailer when you ship it the goods. The retailer reserves the right to return unsold inventory to you in exchange for a refund or credit. The sell-through happens when the consumer pays the retailer";" you have sold through the retailer to the end consumer."""
"Surlignement (Jaune),""Emplacement 5795"","""",""Sell-in data reflects the number of units you’ve put into the retail channel, whereas sell-through is how many have actually been purchased.""";
"Surlignement (Jaune),""Emplacement 5811"","""",""Let’s briefly touch on markup versus margin:""";
"Surlignement (Jaune),""Emplacement 5827"","""",""your first forays into a retail relationship. You need to understand how the buyer thinks, to know how you’ll finance inventory to meet retailer demand, and to properly budget for market development funds (MDF).""";
"Surlignement (Jaune),""Emplacement 5851"","""",""If you sell into big-box and your packaging is off, marketing is poor, or the product doesn’t resonate, the retailer will return the unsold units to you and not want to stock your product again.""";
"Surlignement (Jaune),""Emplacement 5871"","""",""There is no relationship between selling online versus selling to a small retailer versus selling to a national chain.""";
"Surlignement (Jaune),""Emplacement 5889"","""",""“Getting national chain distribution is an essential aspect of scaling a business,” he says, because “so much money is made in the top 10 retailers.”""";
"Surlignement (Jaune),""Emplacement 5901"","""",""“Companies who are selling to these retailers are designing SKUs specifically for them.” SKUs built for Target were designed with the demographic, average income, and appropriate price point for a Target customer in mind. They were completely separate and distinct from those being developed for Costco and Walmart, because each company wanted unique merchandise.""";
"Surlignement (Jaune),""Emplacement 5918"","""",""The capital requirements for retail are huge, cash flows can be complex, and the combination of those factors can kill a startup.""";
"Surlignement (Jaune),""Emplacement 5919"","""",""Retail gross margins are typically in the range of 30–50 percent and can vary by department within a single retailer.""";
"Surlignement (Jaune),""Emplacement 5921"","""",""Retailers will require you to deliver a large amount of inventory up front, often in the hundreds of thousands of units.""";
"Surlignement (Jaune),""Emplacement 5925"","""",""Since you’re getting paid after delivery, you have to front the cost of production.""";
"Surlignement (Jaune),""Emplacement 5956"","""",""market development funds (MDF).""";
"Surlignement (Jaune),""Emplacement 5961"","""",""Expertise in retail negotiations is an important skill";" an expert will know what’s negotiable and what isn’t."""
"Surlignement (Jaune),""Emplacement 5998"","""",""“They are the eyes and ears of their sales territory.”""";
"Surlignement (Jaune),""Emplacement 6038"","""",""A master rep can help achieve national distribution by reaching out to other reps and encouraging them to take on your product, splitting the commission.""";
"Surlignement (Jaune),""Emplacement 6047"","""",""For example, if you choose to sell into Apple, Amazon.com, and a small specialty retailer, you may find yourself having price integrity problems.""";
"Surlignement (Jaune),""Emplacement 6051"","""",""A rep group can work to manage your price and inventory across multiple stores.""";
"Surlignement (Jaune),""Emplacement 6052"","""",""The alternative is to have dedicated salespeople within your company, each with a specific retailer relationship to manage.""";
"Surlignement (Jaune),""Emplacement 6066"","""",""You might find logistical burdens integrating with the retailer’s order-management systems. There’s less analytical data than the startup would get from selling online directly, and there are many small orders to process (as opposed to one large purchase order).""";
"Surlignement (Jaune),""Emplacement 6069"","""",""Some of the larger retailers, such as Target and Lowe’s, have special “innovation” divisions that are specifically set up to work with startups.""";
"Surlignement (Jaune),""Emplacement 6073"","""",""Innovation teams can help a founder in a hot sector bypass the traditional buying process.""";
"Surlignement (Jaune),""Emplacement 6078"","""",""Once your product is on the shelf, you face other challenges. It will be sitting on a shelf surrounded by dozens of competitive products. Even if they’re not directly competitive, your product competes with them for the customer’s attention and dollars on that shopping trip.""";
"Surlignement (Jaune),""Emplacement 6098"","""",""Some retailers require certain types of promotions at various times of the year, such as holidays or back-to-school shopping.""";
"Surlignement (Jaune),""Emplacement 6099"","""",""the lift (increased sales) offsets the discount, but that isn’t always the case.""";
"Surlignement (Jaune),""Emplacement 6108"","""",""Factor financing, or factoring, is a financing method that allows a company to have access to cash several months before the Net D (D is the number of days) payments are due. It isn’t a loan";" instead, the company sells a future cash flow to a third party at a discount, in exchange for more timely access to capital."""
"Surlignement (Jaune),""Emplacement 6124"","""",""Retail""";
"Note,""Emplacement 6124"","""",""Iportance du factoring en retail""";
"Surlignement (Jaune),""Emplacement 6128"","""",""The lure of selling in a megastore""";
"Surlignement (Jaune),""Emplacement 6130"","""",""By selling almost 50 percent of their product consumer direct, their high margins allowed them to pump significantly more back into marketing.""";
"Surlignement (Jaune),""Emplacement 6143"","""",""you can either hold the goods in your own warehousing facility (this can be your garage, in the early days) and ship from there, or you can hire a third-party provider to handle storage and shipment for you.""";
"Surlignement (Jaune),""Emplacement 6145"","""",""Sometimes a factory might be equipped to handle shipping directly.""";
"Surlignement (Jaune),""Emplacement 6146"","""",""an etailer,""";
"Note,""Emplacement 6146"","""",""=un retail en ligne?""";
"Surlignement (Jaune),""Emplacement 6146"","""",""The third option is to have the etailer take inventory and shipping.""";
"Surlignement (Jaune),""Emplacement 6152"","""",""an order management system (OMS) is key. Out-of-the-box ecommerce solutions such as Shopify and Volusion will keep track of orders,""";
"Surlignement (Jaune),""Emplacement 6156"","""",""Inventory management is an exercise in optimization: your goal is to minimize storage costs and avoid tying up capital, while still producing enough units to get volume discounts, and having enough stock on hand to meet customer demand.""";
"Surlignement (Jaune),""Emplacement 6219"","""",""Fulfillment companies typically charge a monthly fee for storage plus a per-order fee.""";
"Note,""Emplacement 6220"","""",""L'instabilité  attire la perte: faux, dépend ce que tu vends""";
"Surlignement (Jaune),""Emplacement 6226"","""",""The primary reason that customers of smaller logistics providers cite as the reason they did not go with Amazon is personalization and branding. Fulfilled By Amazon will ship your product in an Amazon box with Amazon papers inside.""";
"Surlignement (Jaune),""Emplacement 6249"","""",""it will handle shipping, returns, and customer service for those consumer touchpoints.""";
"Note,""Emplacement 6249"","""",""Avantage de passer par un tier""";
"Surlignement (Jaune),""Emplacement 6251"","""",""Basic customer service practices include keeping your customers updated on their order progress, providing them with email confirmations and a shipment tracking number, and posting an easy-to-find customer service email address and/or phone number. If you are a small team, it might be difficult to do more than this in the beginning.""";
"Surlignement (Jaune),""Emplacement 6254"","""",""an online knowledge base containing instructional videos for customers.""";
"Surlignement (Jaune),""Emplacement 6256"","""",""Analytics attached to these assets can give you insight into common customer problems as you see what people are watching or searching for.""";
"Surlignement (Jaune),""Emplacement 6267"","""",""Chapter 11. Legal""";
"Surlignement (Jaune),""Emplacement 6272"","""",""There are six areas of legal complexity that almost every hardware company will encounter: Company formation and establishment of a legal entity Intellectual property protection Contracts (for sourcing, manufacturing, and the sale of finished goods) Liability concerns Regulatory considerations Industry certifications""";
"Surlignement (Jaune),""Emplacement 6383"","""",""Trademarks""";
"Surlignement (Jaune),""Emplacement 6385"","""",""A trademark is a symbol, word, device (sound/color/smell), or name that is used to identify the seller or provider of a particular good or service. Trademarks help you to distinguish your product from a competitor";" they’re an important component of brand identity."""
"Surlignement (Jaune),""Emplacement 6409"","""",""Generally speaking, a trade secret is any information that has economic value to your business, that isn’t publicly known or easy to figure out, and that you have used reasonable efforts to keep secret.""";
"Surlignement (Jaune),""Emplacement 6414"","""",""non-disclosure agreements""";
"Surlignement (Jaune),""Emplacement 6458"","""",""When is the right time for a hardware startup to pursue a patent?""";
"Surlignement (Jaune),""Emplacement 6486"","""",""What’s your advice for a startup that’s competing in a crowded space? For example, the technology isn’t new, but its differentiator is price, or it’s focusing on building a brand targeting a particular type of consumer.""";
"Surlignement (Jaune),""Emplacement 6490"","""",""There are certainly startups that come to us and we end up having an hour-long brainstorming session and then just throw up our arms, saying, “There’s really nothing here to patent.”""";
"Surlignement (Jaune),""Emplacement 6535"","""",""Not So Obvious: An Introduction to Patent Law and Strategy (CreateSpace).""";
"Surlignement (Jaune),""Emplacement 6538"","""",""Manufacturing Concerns""";
"Surlignement (Jaune),""Emplacement 6541"","""",""Many founders are worried about not getting what they paid for, or encountering long and costly delays, or having their IP stolen.""";
"Surlignement (Jaune),""Emplacement 6546"","""",""Liability protection is an important consideration for hardware founders.""";
"Surlignement (Jaune),""Emplacement 6564"","""",""Some larger companies include the right to terminate the contract or reject the shipment if a certain percentage of defects is exceeded.""";
"Surlignement (Jaune),""Emplacement 6565"","""",""You’ll find many helpful sample contracts online.""";
"Surlignement (Jaune),""Emplacement 6568"","""",""Your relationship with your manufacturing partner is more important than what the contract says. In my view, there’s a lot of time wasted on putting operations details, which really don’t need to be in a contract, into the contract.""";
"Surlignement (Jaune),""Emplacement 6572"","""",""Excessive worrying about what’s defined in the contract or inserting numerous “prior written approval of the client” requirements will necessarily slow things down and possibly be an impediment to solving real problems.""";
"Note,""Emplacement 6573"","""",""Le piege des boites montées par des avocats?""";
"Surlignement (Jaune),""Emplacement 6589"","""",""Customs bond If you’re importing more than $2,500 worth of goods to sell within the United States, you will have to post a bond “to ensure that all duties, taxes, and fees owed to the federal government will be paid.”""";
"Surlignement (Jaune),""Emplacement 6592"","""",""There are two types of bonds: single-entry bond and continuous-entry bond (also known as annual bond).""";
"Surlignement (Jaune),""Emplacement 6600"","""",""There is an international system of codes called the Harmonized System (HS). Each product you import must have an HS code. The HS system has 22 sections and 99 chapters and is incredibly detailed.""";
"Surlignement (Jaune),""Emplacement 6605"","""",""Each country sets its own tariff rates with reference to the HS system (in the US, this is called the Harmonized Tariff Schedule),""";
"Surlignement (Jaune),""Emplacement 6626"","""",""Ultimately, it’s the importer’s responsibility to get all of the papers filed and duties paid correctly. A mistake can result in goods being held at the dock, fines, audits, or increased scrutiny of future shipments""";
"Surlignement (Jaune),""Emplacement 6629"","""",""Because of the complexity, many importers hire a customs broker to take care of the paperwork and filings for them.""";
"Surlignement (Jaune),""Emplacement 6725"","""",""The Cellscope team hired a regulatory consultant to help them understand the myriad rules that applied to their product. They also hired a full-time quality engineer, whose job entails making sure that the quality assurance system""";
"Note,""Emplacement 6727"","""",""Importance du quality engineer dans un marché  regulé""";
"Surlignement (Jaune),""Emplacement 6752"","""",""The Federal Communications Commission (FCC) is a US government agency that regulates domestic and international communications via radio, TV, satellite, wire, and cable.""";
